Latitude,Longitude,Crop,Harvest year,Fertilization CT ,N input,Yield of CT,Sowing month,Harvesting month,P,E,PB,Tave,ST
-20.35,32.35,cotton,2001,Yes,Yes,2090.0,10,17,528.4,881.308,-352.908,26.4,Sandy clay
-20.35,32.35,cotton,2002,Yes,Yes,3660.0,10,17,403.6,928.085,-524.485,27.1125,Sandy clay
-20.35,32.35,cotton,2003,Yes,Yes,4030.0,10,17,461.8,899.826,-438.026,26.7625,Sandy clay
-20.35,32.35,cotton,2004,Yes,Yes,3650.0,10,17,385.4,914.019,-528.619,26.4,Sandy clay
-20.35,32.35,cotton,2005,Yes,Yes,2930.0,10,17,278.3,926.576,-648.276,27.5875,Sandy clay
-20.35,32.35,cotton,2006,Yes,Yes,3400.0,10,17,421.1000057,864.7600083,-443.66,26.97500014,Sandy clay
-20.35,32.35,wheat.winter,2001,Yes,Yes,4810.0,5,10,120.8,439.188,-318.388,20.73333,Sandy clay
-20.35,32.35,wheat.winter,2002,Yes,Yes,4530.0,5,10,36.0,403.133,-367.133,21.03333,Sandy clay
-20.35,32.35,wheat.winter,2003,Yes,Yes,4670.0,5,10,104.7,415.538,-310.838,20.16667,Sandy clay
-20.35,32.35,wheat.winter,2004,Yes,Yes,4500.0,5,10,-44.5,411.247,-455.747,19.86667,Sandy clay
40.65,-104.98,maize,2000,Yes,Yes,7672.0,5,11,197.5,567.114,-369.614,14.04286,Loam
40.65,-104.98,maize,2000,No,No,5326.0,5,11,197.5,567.114,-369.614,14.04286,Loam
40.65,-104.98,maize,2000,Yes,Yes,9933.0,5,11,197.5,567.114,-369.614,14.04286,Loam
40.65,-104.98,maize,2000,Yes,Yes,10631.0,5,11,197.5,567.114,-369.614,14.04286,Loam
40.65,-104.98,maize,2001,No,No,6785.0,5,11,253.0,566.023,-313.023,14.88571,Loam
40.65,-104.98,maize,2001,Yes,Yes,13964.0,5,11,253.0,566.023,-313.023,14.88571,Loam
40.65,-104.98,maize,2001,Yes,Yes,11535.0,5,11,253.0,566.023,-313.023,14.88571,Loam
40.65,-104.98,maize,2001,Yes,Yes,13606.0,5,11,253.0,566.023,-313.023,14.88571,Loam
40.65,-104.98,maize,2002,Yes,Yes,12348.0,5,11,267.2,553.256,-286.056,13.92857,Loam
40.65,-104.98,maize,2002,No,No,6304.0,5,11,267.2,553.256,-286.056,13.92857,Loam
40.65,-104.98,maize,2002,Yes,Yes,12491.0,5,11,267.2,553.256,-286.056,13.92857,Loam
40.65,-104.98,maize,2002,Yes,Yes,10986.0,5,11,267.2,553.256,-286.056,13.92857,Loam
40.65,-104.98,maize,2003,Yes,Yes,8565.0,5,11,223.0,576.644,-353.644,14.8,Loam
40.65,-104.98,maize,2003,Yes,Yes,10533.0,5,11,223.0,576.644,-353.644,14.8,Loam
40.65,-104.98,maize,2003,Yes,Yes,11756.0,5,11,223.0,576.644,-353.644,14.8,Loam
40.65,-104.98,maize,2003,No,No,6922.0,5,11,223.0,576.644,-353.644,14.8,Loam
40.65,-104.98,maize,2004,Yes,Yes,12254.0,5,11,445.4,552.736,-107.336,13.85714,Loam
40.65,-104.98,maize,2004,Yes,Yes,11272.0,5,11,445.4,552.736,-107.336,13.85714,Loam
40.65,-104.98,maize,2004,Yes,Yes,10454.0,5,11,445.4,552.736,-107.336,13.85714,Loam
40.65,-104.98,maize,2004,No,No,6287.0,5,11,445.4,552.736,-107.336,13.85714,Loam
46.82,-100.88,sunflower,1987,Yes,Yes,2201.0,5,10,352.5,483.363,-130.863,15.88333,Loam
46.82,-100.88,sunflower,1987,Yes,Yes,2260.0,5,10,352.5,483.363,-130.863,15.88333,Loam
46.82,-100.88,sunflower,1987,Yes,Yes,1977.0,5,10,352.5,483.363,-130.863,15.88333,Loam
46.82,-100.88,sunflower,1987,Yes,Yes,1906.0,5,10,352.5,483.363,-130.863,15.88333,Loam
46.82,-100.88,sunflower,1987,Yes,Yes,1975.0,5,10,352.5,483.363,-130.863,15.88333,Loam
46.82,-100.88,sunflower,1987,Yes,Yes,1808.0,5,10,352.5,483.363,-130.863,15.88333,Loam
46.82,-100.88,sunflower,1988,Yes,Yes,935.0,5,10,201.0,496.658,-295.658,17.31667,Loam
46.82,-100.88,sunflower,1988,Yes,Yes,791.0,5,10,201.0,496.658,-295.658,17.31667,Loam
46.82,-100.88,sunflower,1988,Yes,Yes,940.0,5,10,201.0,496.658,-295.658,17.31667,Loam
46.82,-100.88,sunflower,1988,Yes,Yes,900.0,5,10,201.0,496.658,-295.658,17.31667,Loam
46.82,-100.88,sunflower,1988,Yes,Yes,1051.0,5,10,201.0,496.658,-295.658,17.31667,Loam
46.82,-100.88,sunflower,1988,Yes,Yes,761.0,5,10,201.0,496.658,-295.658,17.31667,Loam
46.82,-100.88,sunflower,1989,Yes,Yes,238.0,5,10,205.4,469.257,-263.857,16.25,Loam
46.82,-100.88,sunflower,1989,Yes,Yes,340.0,5,10,205.4,469.257,-263.857,16.25,Loam
46.82,-100.88,sunflower,1989,Yes,Yes,464.0,5,10,205.4,469.257,-263.857,16.25,Loam
46.82,-100.88,sunflower,1989,Yes,Yes,442.0,5,10,205.4,469.257,-263.857,16.25,Loam
46.82,-100.88,sunflower,1989,Yes,Yes,406.0,5,10,205.4,469.257,-263.857,16.25,Loam
46.82,-100.88,sunflower,1989,Yes,Yes,366.0,5,10,205.4,469.257,-263.857,16.25,Loam
46.82,-100.88,sunflower,1990,Yes,Yes,12.0,5,10,238.1,477.824,-239.724,16.48333,Loam
46.82,-100.88,sunflower,1990,Yes,Yes,61.0,5,10,238.1,477.824,-239.724,16.48333,Loam
46.82,-100.88,sunflower,1990,Yes,Yes,163.0,5,10,238.1,477.824,-239.724,16.48333,Loam
46.82,-100.88,sunflower,1990,Yes,Yes,153.0,5,10,238.1,477.824,-239.724,16.48333,Loam
46.82,-100.88,sunflower,1990,Yes,Yes,181.0,5,10,238.1,477.824,-239.724,16.48333,Loam
46.82,-100.88,sunflower,1990,Yes,Yes,266.0,5,10,238.1,477.824,-239.724,16.48333,Loam
46.82,-100.88,sunflower,1991,Yes,Yes,203.0,5,10,331.0,473.002,-142.002,16.4,Loam
46.82,-100.88,sunflower,1991,Yes,Yes,198.0,5,10,331.0,473.002,-142.002,16.4,Loam
46.82,-100.88,sunflower,1991,Yes,Yes,185.0,5,10,331.0,473.002,-142.002,16.4,Loam
46.82,-100.88,sunflower,1991,Yes,Yes,430.0,5,10,331.0,473.002,-142.002,16.4,Loam
46.82,-100.88,sunflower,1991,Yes,Yes,313.0,5,10,331.0,473.002,-142.002,16.4,Loam
46.82,-100.88,sunflower,1991,Yes,Yes,246.0,5,10,331.0,473.002,-142.002,16.4,Loam
46.82,-100.88,sunflower,1993,Yes,Yes,1497.0,5,10,304.9,419.28,-114.38,13.9,Loam
46.82,-100.88,sunflower,1993,Yes,Yes,1633.0,5,10,304.9,419.28,-114.38,13.9,Loam
46.82,-100.88,sunflower,1993,Yes,Yes,1509.0,5,10,304.9,419.28,-114.38,13.9,Loam
46.82,-100.88,sunflower,1993,Yes,Yes,1668.0,5,10,304.9,419.28,-114.38,13.9,Loam
46.82,-100.88,sunflower,1993,Yes,Yes,1716.0,5,10,304.9,419.28,-114.38,13.9,Loam
46.82,-100.88,sunflower,1993,Yes,Yes,1667.0,5,10,304.9,419.28,-114.38,13.9,Loam
46.82,-100.88,sunflower,1994,Yes,Yes,1801.0,5,10,372.9,477.004,-104.104,15.98333,Loam
46.82,-100.88,sunflower,1994,Yes,Yes,1729.0,5,10,372.9,477.004,-104.104,15.98333,Loam
46.82,-100.88,sunflower,1994,Yes,Yes,2037.0,5,10,372.9,477.004,-104.104,15.98333,Loam
46.82,-100.88,sunflower,1994,Yes,Yes,1716.0,5,10,372.9,477.004,-104.104,15.98333,Loam
46.82,-100.88,sunflower,1994,Yes,Yes,1795.0,5,10,372.9,477.004,-104.104,15.98333,Loam
46.82,-100.88,sunflower,1994,Yes,Yes,2008.0,5,10,372.9,477.004,-104.104,15.98333,Loam
46.82,-100.88,sunflower,1995,Yes,Yes,2036.0,5,10,387.3,495.831,-108.531,15.31667,Loam
46.82,-100.88,sunflower,1995,Yes,Yes,2042.0,5,10,387.3,495.831,-108.531,15.31667,Loam
46.82,-100.88,sunflower,1995,Yes,Yes,1782.0,5,10,387.3,495.831,-108.531,15.31667,Loam
46.82,-100.88,sunflower,1995,Yes,Yes,2001.0,5,10,387.3,495.831,-108.531,15.31667,Loam
46.82,-100.88,sunflower,1995,Yes,Yes,1775.0,5,10,387.3,495.831,-108.531,15.31667,Loam
46.82,-100.88,sunflower,1995,Yes,Yes,1713.0,5,10,387.3,495.831,-108.531,15.31667,Loam
46.82,-100.88,sunflower,1996,Yes,Yes,1804.0,5,10,334.7,470.778,-136.078,15.01667,Loam
46.82,-100.88,sunflower,1996,Yes,Yes,1674.0,5,10,334.7,470.778,-136.078,15.01667,Loam
46.82,-100.88,sunflower,1996,Yes,Yes,1621.0,5,10,334.7,470.778,-136.078,15.01667,Loam
46.82,-100.88,sunflower,1996,Yes,Yes,1565.0,5,10,334.7,470.778,-136.078,15.01667,Loam
46.82,-100.88,sunflower,1996,Yes,Yes,1612.0,5,10,334.7,470.778,-136.078,15.01667,Loam
46.82,-100.88,sunflower,1996,Yes,Yes,1557.0,5,10,334.7,470.778,-136.078,15.01667,Loam
46.82,-100.88,wheat.winter,1988,Mix,Mix,319.0,9,19,132.3,596.512,-464.212,7.71818,Loam
46.82,-100.88,wheat.winter,1989,Mix,Mix,777.0,9,19,323.0,545.206,-222.206,5.96364,Loam
46.82,-100.88,wheat.winter,1990,Mix,Mix,1181.0,9,19,283.8,574.83,-291.03,7.32727,Loam
46.82,-100.88,wheat.winter,1993,Mix,Mix,2080.0,9,19,520.1,496.15,23.95,4.92727,Loam
46.82,-100.88,wheat.winter,1994,Mix,Mix,2238.0,9,19,183.2,549.29,-366.09,4.89091,Loam
46.82,-100.88,wheat.winter,1995,Mix,Mix,2278.0,9,19,650.4,555.613,94.787,6.2,Loam
46.82,-100.88,wheat.winter,1996,Mix,Mix,1703.0,9,19,380.0,543.32,-163.32,4.47273,Loam
52.52,15.12,soybean,2015,Yes,Yes,879.0,5,10,236.9,370.652,-133.752,15.33333,Sandy loam
52.52,15.12,soybean,2016,No,No,879.0,5,10,274.8,358.821,-84.021,16.26667,Sandy loam
52.52,15.12,soybean,2016,Yes,Yes,879.0,5,10,274.8,358.821,-84.021,16.26667,Sandy loam
52.52,15.12,soybean,2017,No,No,5628.0,5,10,439.7,352.641,87.059,15.88333,Sandy loam
52.52,15.12,soybean,2017,Yes,Yes,5628.0,5,10,439.7,352.641,87.059,15.88333,Sandy loam
52.52,15.12,soybean,2016,No,No,866.0,5,10,274.8,358.821,-84.021,16.26667,Sandy loam
52.52,15.12,soybean,2016,Yes,Yes,866.0,5,10,274.8,358.821,-84.021,16.26667,Sandy loam
52.52,15.12,soybean,2016,No,No,1814.0,5,10,274.8,358.821,-84.021,16.26667,Sandy loam
52.52,15.12,soybean,2016,Yes,Yes,1814.0,5,10,274.8,358.821,-84.021,16.26667,Sandy loam
-30.5,118.37,wheat.winter,1981,,,568.0,5,11,291.8,325.443,-33.643,14.17143,Sandy loam
-30.5,118.37,wheat.winter,1981,,,1070.0,5,11,291.8,325.443,-33.643,14.17143,Sandy loam
-30.5,118.37,wheat.winter,1982,,,583.0,5,11,217.8,328.226,-110.426,15.17143,Sandy loam
-30.5,118.37,wheat.winter,1982,,,583.0,5,11,217.8,328.226,-110.426,15.17143,Sandy loam
42.21,-87.75,maize,2000,Yes,Yes,2896.0,5,10,542.0,570.451,-28.451,20.11667,Loam
42.21,-87.75,maize,2001,Yes,Yes,3591.0,5,10,626.7,580.501,46.199,19.76667,Loam
42.21,-87.75,maize,2002,Yes,Yes,2664.0,5,10,409.5,587.988,-178.488,20.0,Loam
42.21,-87.75,maize,2003,Yes,Yes,3175.0,5,10,544.2,566.389,-22.189,18.75,Loam
42.21,-87.75,maize,2004,Yes,Yes,2988.0,5,10,493.3,558.828,-65.528,19.23333,Loam
42.21,-87.75,maize,2005,Yes,Yes,2687.0,5,10,214.8,603.2,-388.4,20.88333,Loam
42.21,-87.75,maize,2006,Yes,Yes,3706.0,5,10,617.3,562.948,54.352,19.3,Loam
42.21,-87.75,soybean,2002,No,No,808.0,5,10,409.5,587.988,-178.488,20.0,Loam
42.21,-87.75,soybean,2003,No,No,753.0,5,10,544.2,566.389,-22.189,18.75,Loam
42.21,-87.75,soybean,2004,No,No,1255.0,5,10,493.3,558.828,-65.528,19.23333,Loam
42.21,-87.75,soybean,2005,No,No,1161.0,5,10,214.8,603.2,-388.4,20.88333,Loam
42.21,-87.75,soybean,2006,No,No,1341.0,5,10,617.3,562.948,54.352,19.3,Loam
42.21,-87.75,wheat.winter,2000,Yes,Yes,1482.0,10,19,696.2,651.219,44.981,12.57,Loam
42.21,-87.75,wheat.winter,2001,Yes,Yes,1584.0,10,19,756.0,657.973,98.027,10.96,Loam
42.21,-87.75,wheat.winter,2002,Yes,Yes,1445.0,10,19,738.5,649.647,88.853,12.74,Loam
42.21,-87.75,wheat.winter,2003,Yes,Yes,1822.0,10,19,661.4,628.168,33.232,10.08,Loam
42.21,-87.75,wheat.winter,2004,Yes,Yes,1694.0,10,19,838.3,630.763,207.537,11.11,Loam
42.21,-87.75,wheat.winter,2005,Yes,Yes,1451.0,10,19,838.3,630.763,207.537,11.11,Loam
42.21,-87.75,wheat.winter,2006,Yes,Yes,1553.0,10,19,731.8,664.283,67.517,12.08,Loam
37.2,46.33,wheat.winter,2002,Yes,Yes,1880.0,10,18,345.8,441.274,-95.474,11.42222,Loam
37.2,46.33,wheat.winter,2001,Yes,Yes,754.0,10,18,113.4,442.033,-328.633,11.81111,Loam
37.2,46.33,wheat.winter,2002,Yes,Yes,1880.0,10,18,345.8,441.274,-95.474,11.42222,Loam
37.2,46.33,wheat.winter,2001,Yes,Yes,754.0,10,18,113.4,442.033,-328.633,11.81111,Loam
37.2,46.33,wheat.winter,2001,Yes,Yes,387.0,10,18,113.4,442.033,-328.633,11.81111,Loam
37.2,46.33,wheat.winter,2002,Yes,Yes,1564.0,10,18,345.8,441.274,-95.474,11.42222,Loam
37.2,46.33,wheat.winter,2001,Yes,Yes,387.0,10,18,113.4,442.033,-328.633,11.81111,Loam
37.2,46.33,wheat.winter,2002,Yes,Yes,1564.0,10,18,345.8,441.274,-95.474,11.42222,Loam
36.32,106.75,wheat.winter,2010,Yes,Yes,2641.0,9,18,298.1,460.258,-162.158,7.69,Loam
35.62,-88.85,cotton,1991,Yes,Yes,1263.0,5,10,625.4,578.398,47.002,22.93333,Loam
35.62,-88.85,cotton,1991,Yes,Yes,1288.0,5,10,625.4,578.398,47.002,22.93333,Loam
35.62,-88.85,cotton,1991,Yes,Yes,1264.0,5,10,625.4,578.398,47.002,22.93333,Loam
35.62,-88.85,cotton,1991,Yes,Yes,1574.0,5,10,625.4,578.398,47.002,22.93333,Loam
35.62,-88.85,cotton,1991,Yes,Yes,1648.0,5,10,625.4,578.398,47.002,22.93333,Loam
35.62,-88.85,cotton,1991,Yes,Yes,1592.0,5,10,625.4,578.398,47.002,22.93333,Loam
35.62,-88.85,cotton,1993,Yes,Yes,1069.0,5,10,570.1,592.259,-22.159,22.36667,Loam
35.62,-88.85,cotton,1993,Yes,Yes,1063.0,5,10,570.1,592.259,-22.159,22.36667,Loam
35.62,-88.85,cotton,1993,Yes,Yes,1075.0,5,10,570.1,592.259,-22.159,22.36667,Loam
35.62,-88.85,cotton,1993,Yes,Yes,930.0,5,10,570.1,592.259,-22.159,22.36667,Loam
35.62,-88.85,cotton,1993,Yes,Yes,949.0,5,10,570.1,592.259,-22.159,22.36667,Loam
35.62,-88.85,cotton,1993,Yes,Yes,953.0,5,10,570.1,592.259,-22.159,22.36667,Loam
35.62,-88.85,cotton,1994,Yes,Yes,1317.0,5,10,700.3,567.794,132.506,21.76667,Loam
35.62,-88.85,cotton,1994,Yes,Yes,1397.0,5,10,700.3,567.794,132.506,21.76667,Loam
35.62,-88.85,cotton,1994,Yes,Yes,1405.0,5,10,700.3,567.794,132.506,21.76667,Loam
35.62,-88.85,cotton,1994,Yes,Yes,1444.0,5,10,700.3,567.794,132.506,21.76667,Loam
35.62,-88.85,cotton,1994,Yes,Yes,1421.0,5,10,700.3,567.794,132.506,21.76667,Loam
35.62,-88.85,cotton,1994,Yes,Yes,1430.0,5,10,700.3,567.794,132.506,21.76667,Loam
-42.63,172.45,barley.spring,2017,Mix,Mix,10400.0,1,6,427.3,289.467,137.833,9.58333,Sandy loam
28.18,113.07,rice,2009,Yes,Yes,2622.0,3,6,794.3,334.279,460.021,19.55,Clay loam
28.18,113.07,rice,2010,Yes,Yes,2534.0,3,6,1027.6,275.726,751.875,18.1,Clay loam
28.18,113.07,rice,2011,Yes,Yes,1864.0,3,6,601.4,332.36,269.04,18.7,Clay loam
28.18,113.07,rice,2004,Yes,Yes,8380.0,3,6,773.0,353.483,419.517,19.675,Clay loam
28.18,113.07,rice,2006,Yes,Yes,10160.0,3,6,776.8,346.064,430.736,19.875,Clay loam
28.18,113.07,rice,2007,Yes,Yes,10460.0,3,6,550.7,342.13,208.57,19.875,Clay loam
28.18,113.07,rice,2008,Yes,Yes,11250.0,3,6,602.6,346.063,256.537,20.375,Clay loam
28.18,113.07,rice,2009,Yes,Yes,9090.0,3,6,794.3,334.279,460.021,19.55,Clay loam
28.18,113.07,rice,2010,Yes,Yes,8940.0,3,6,1027.6,275.726,751.875,18.1,Clay loam
28.18,113.07,rice,2004,Yes,Yes,10140.0,3,6,773.0,353.483,419.517,19.675,Clay loam
28.18,113.07,rice,2006,Yes,Yes,10450.0,3,6,776.8,346.064,430.736,19.875,Clay loam
28.18,113.07,rice,2007,Yes,Yes,10610.0,3,6,550.7,342.13,208.57,19.875,Clay loam
28.18,113.07,rice,2008,Yes,Yes,9560.0,3,6,602.6,346.063,256.537,20.375,Clay loam
28.18,113.07,rice,2009,Yes,Yes,9400.0,3,6,794.3,334.279,460.021,19.55,Clay loam
28.18,113.07,rice,2010,Yes,Yes,9660.0,3,6,1027.6,275.726,751.875,18.1,Clay loam
34.3,-79.73,maize,1998,Yes,Yes,3340.0,4,9,607.3,661.112,-53.812,24.71667,Loam
34.3,-79.73,maize,1999,Yes,Yes,5000.0,4,9,681.0,605.264,75.736,23.83333,Loam
34.3,-79.73,maize,2000,Yes,Yes,5800.0,4,9,763.9,634.358,129.542,23.83333,Loam
34.3,-79.73,maize,2001,Yes,Yes,5460.0,4,9,363.3,625.169,-261.869,23.78333,Loam
34.3,-79.73,soybean,1998,Yes,No,1750.0,6,11,386.6,544.436,-157.836,23.26667,Loam
34.3,-79.73,soybean,1999,Yes,No,2450.0,6,11,685.3,498.545,186.755,22.45,Loam
34.3,-79.73,soybean,2000,Yes,No,2600.0,6,11,689.0,514.738,174.262,21.76667,Loam
34.3,-79.73,soybean,2001,Yes,No,680.0,6,11,329.0,504.888,-175.888,22.41667,Loam
34.3,-79.73,wheat.winter,1998,Yes,Yes,3860.0,11,18,1138.3,606.099,532.201,18.1,Loam
34.3,-79.73,wheat.winter,1999,Yes,Yes,2460.0,11,18,816.0,571.866,244.134,18.3625,Loam
34.3,-79.73,wheat.winter,2000,Yes,Yes,3570.0,11,18,782.9,612.308,170.592,18.2875,Loam
34.3,-79.73,wheat.winter,2001,Yes,Yes,3950.0,11,18,605.6,581.559,24.041,16.875,Loam
34.3,-79.73,wheat.winter,2002,Yes,Yes,1740.0,11,18,565.7,608.672,-42.972,19.225,Loam
52.85,14.12,maize,2008,,,12230.0,4,10,361.8,392.547,-30.747,14.04286,Sandy loam
52.85,14.12,maize,2009,,,20140.0,4,10,414.1,412.644,1.456,14.3,Sandy loam
52.85,14.12,maize,2010,,,15510.0,4,10,425.8,386.631,39.169,13.54286,Sandy loam
52.85,14.12,maize,2011,,,21020.0,4,10,455.0,396.638,58.362,14.77143,Sandy loam
52.85,14.12,maize,2012,,,20080.0,4,10,401.6,399.156,2.444,13.92857,Sandy loam
52.85,14.12,maize,2013,,,16970.0,4,10,337.6,391.293,-53.693,14.2,Sandy loam
52.85,14.12,maize,2014,,,18230.0,4,10,345.9,420.93,-75.03,14.94286,Sandy loam
52.85,14.12,maize,2015,,,9940.0,4,10,275.7,408.059,-132.359,13.85714,Sandy loam
52.85,14.12,maize,2016,,,18670.0,4,10,262.4,404.99,-142.59,14.68571,Sandy loam
52.85,14.12,maize,2008,,,20220.0,4,10,361.8,392.547,-30.747,14.04286,Sandy loam
52.85,14.12,maize,2009,,,21280.0,4,10,414.1,412.644,1.456,14.3,Sandy loam
52.85,14.12,maize,2010,,,18120.0,4,10,425.8,386.631,39.169,13.54286,Sandy loam
52.85,14.12,maize,2011,,,21690.0,4,10,455.0,396.638,58.362,14.77143,Sandy loam
52.85,14.12,maize,2012,,,22830.0,4,10,401.6,399.156,2.444,13.92857,Sandy loam
52.85,14.12,maize,2013,,,19930.0,4,10,337.6,391.293,-53.693,14.2,Sandy loam
52.85,14.12,maize,2014,,,20230.0,4,10,345.9,420.93,-75.03,14.94286,Sandy loam
52.85,14.12,maize,2015,,,20230.0,4,10,275.7,408.059,-132.359,13.85714,Sandy loam
52.85,14.12,maize,2016,,,22720.0,4,10,262.4,404.99,-142.59,14.68571,Sandy loam
35.15,136.93,rice,2001,Yes,Yes,5750.0,6,10,962.4,374.388,588.012,23.94,Clay loam
35.15,136.93,rice,2002,Yes,Yes,7620.0,6,10,515.3,375.701,139.599,24.1,Clay loam
35.15,136.93,wheat.winter,2002,Yes,Yes,4290.0,10,18,1028.4,469.416,558.984,4.4,Clay loam
35.15,136.93,wheat.winter,2001,Yes,Yes,5310.0,10,18,1120.5,490.546,629.954,4.27778,Clay loam
35.15,136.93,wheat.winter,2002,Yes,Yes,3690.0,10,18,1028.4,469.416,558.984,4.4,Clay loam
31.42,73.07,maize,2002,Yes,Yes,9630.0,6,10,191.3,546.572,-355.272,31.38,Loam
31.42,73.07,maize,2002,Yes,Yes,19710.0,6,10,191.3,546.572,-355.272,31.38,Loam
44.07,-93.52,maize,1982,Yes,Yes,9160.0,5,10,641.8,465.992,175.808,16.93333,Loam
44.07,-93.52,maize,1983,Yes,Yes,6630.0,5,10,476.9,506.731,-29.831,17.8,Loam
44.07,-93.52,maize,1984,Yes,Yes,7420.0,5,10,557.9,498.038,59.862,17.15,Loam
44.07,-93.52,maize,1987,Yes,Yes,9880.0,5,10,528.3,528.94,-0.64,18.0,Loam
44.07,-93.52,maize,1988,Yes,Yes,6310.0,5,10,332.9,554.216,-221.316,18.76667,Loam
44.07,-93.52,maize,1989,Yes,Yes,9610.0,5,10,349.4,496.941,-147.541,17.45,Loam
44.07,-93.52,maize,1990,Yes,Yes,9200.0,5,10,731.6,497.577,234.023,17.16667,Loam
44.07,-93.52,maize,1991,Yes,Yes,10220.0,5,10,629.8,475.382,154.418,17.46667,Loam
31.38,72.03,maize,2013,Yes,Yes,6300.0,6,10,499.7,394.544,105.156,31.78,Loam
31.38,72.03,maize,2014,Yes,Yes,5000.0,6,10,202.1,384.957,-182.857,31.72,Loam
31.38,72.03,maize,2014,Yes,Yes,5800.0,6,10,202.1,384.957,-182.857,31.72,Loam
31.38,72.03,maize,2015,Yes,Yes,5000.0,6,10,489.9,406.5,83.4,30.62,Loam
31.38,72.03,maize,2015,Yes,Yes,5100.0,6,10,489.9,406.5,83.4,30.62,Loam
31.38,72.03,maize,2013,Yes,Yes,3300.0,6,10,499.7,394.544,105.156,31.78,Loam
31.38,72.03,maize,2014,Yes,Yes,2200.0,6,10,202.1,384.957,-182.857,31.72,Loam
31.38,72.03,maize,2014,Yes,Yes,2500.0,6,10,202.1,384.957,-182.857,31.72,Loam
31.38,72.03,maize,2015,Yes,Yes,1300.0,6,10,489.9,406.5,83.4,30.62,Loam
31.38,72.03,maize,2015,Yes,Yes,2500.0,6,10,489.9,406.5,83.4,30.62,Loam
31.38,72.03,maize,2013,Yes,Yes,7200.0,6,10,499.7,394.544,105.156,31.78,Loam
31.38,72.03,maize,2014,Yes,Yes,6000.0,6,10,202.1,384.957,-182.857,31.72,Loam
31.38,72.03,maize,2014,Yes,Yes,7700.0,6,10,202.1,384.957,-182.857,31.72,Loam
31.38,72.03,maize,2015,Yes,Yes,5400.0,6,10,489.9,406.5,83.4,30.62,Loam
31.38,72.03,maize,2015,Yes,Yes,6400.0,6,10,489.9,406.5,83.4,30.62,Loam
31.38,72.03,maize,2013,No,No,3100.0,6,10,499.7,394.544,105.156,31.78,Loam
31.38,72.03,maize,2014,No,No,2400.0,6,10,202.1,384.957,-182.857,31.72,Loam
31.38,72.03,maize,2014,No,No,2100.0,6,10,202.1,384.957,-182.857,31.72,Loam
31.38,72.03,maize,2015,No,No,1300.0,6,10,489.9,406.5,83.4,30.62,Loam
31.38,72.03,maize,2015,No,No,1900.0,6,10,489.9,406.5,83.4,30.62,Loam
31.38,72.03,maize,2013,Yes,Yes,14500.0,6,10,499.7,394.544,105.156,31.78,Loam
31.38,72.03,maize,2014,Yes,Yes,12400.0,6,10,202.1,384.957,-182.857,31.72,Loam
31.38,72.03,maize,2014,Yes,Yes,13800.0,6,10,202.1,384.957,-182.857,31.72,Loam
31.38,72.03,maize,2015,Yes,Yes,11200.0,6,10,489.9,406.5,83.4,30.62,Loam
31.38,72.03,maize,2015,Yes,Yes,11400.0,6,10,489.9,406.5,83.4,30.62,Loam
31.38,72.03,maize,2013,No,No,9000.0,6,10,499.7,394.544,105.156,31.78,Loam
31.38,72.03,maize,2014,No,No,8600.0,6,10,202.1,384.957,-182.857,31.72,Loam
31.38,72.03,maize,2014,No,No,7700.0,6,10,202.1,384.957,-182.857,31.72,Loam
31.38,72.03,maize,2015,No,No,5100.0,6,10,489.9,406.5,83.4,30.62,Loam
31.38,72.03,maize,2015,No,No,8300.0,6,10,489.9,406.5,83.4,30.62,Loam
31.38,72.03,maize,2013,Yes,Yes,16400.0,6,10,499.7,394.544,105.156,31.78,Loam
31.38,72.03,maize,2014,Yes,Yes,13400.0,6,10,202.1,384.957,-182.857,31.72,Loam
31.38,72.03,maize,2014,Yes,Yes,17000.0,6,10,202.1,384.957,-182.857,31.72,Loam
31.38,72.03,maize,2015,Yes,Yes,12000.0,6,10,489.9,406.5,83.4,30.62,Loam
31.38,72.03,maize,2015,Yes,Yes,12900.0,6,10,489.9,406.5,83.4,30.62,Loam
31.38,72.03,maize,2013,No,No,13300.0,6,10,499.7,394.544,105.156,31.78,Loam
31.38,72.03,maize,2014,No,No,9800.0,6,10,202.1,384.957,-182.857,31.72,Loam
31.38,72.03,maize,2014,No,No,9400.0,6,10,202.1,384.957,-182.857,31.72,Loam
31.38,72.03,maize,2015,No,No,5800.0,6,10,489.9,406.5,83.4,30.62,Loam
31.38,72.03,maize,2015,No,No,6800.0,6,10,489.9,406.5,83.4,30.62,Loam
38.0,-84.5,maize,1980,Yes,Yes,6080.0,5,10,440.8,546.337,-105.537,21.26667,Loam
38.0,-84.5,maize,1980,Yes,No,3320.0,5,10,440.8,546.337,-105.537,21.26667,Loam
38.0,-84.5,maize,1980,Yes,Yes,6270.0,5,10,440.8,546.337,-105.537,21.26667,Loam
38.0,-84.5,maize,1980,Yes,Yes,5520.0,5,10,440.8,546.337,-105.537,21.26667,Loam
38.0,-84.5,maize,1981,Yes,Yes,5390.0,5,10,632.1,503.966,128.134,20.15,Loam
38.0,-84.5,maize,1981,Yes,Yes,4640.0,5,10,632.1,503.966,128.134,20.15,Loam
38.0,-84.5,maize,1981,Yes,Yes,5020.0,5,10,632.1,503.966,128.134,20.15,Loam
38.0,-84.5,maize,1981,Yes,No,3450.0,5,10,632.1,503.966,128.134,20.15,Loam
