Latitude,Longitude,Crop,Harvest year,Fertilization CT ,N input,Yield of CT,Sowing month,Harvesting month,P,E,PB,Tave,ST
42.94,-92.57,soybean,1996,,,3688.0,5,10,532.6,463.279,69.321,17.43333,Loam
42.94,-92.57,soybean,1997,,,2873.0,5,10,457.5,494.706,-37.206,18.18333,Loam
42.94,-92.57,soybean,1997,,,2849.0,5,10,457.5,494.706,-37.206,18.18333,Loam
42.94,-92.57,soybean,1995,,,2281.0,5,10,438.1,502.598,-64.498,18.35,Loam
42.94,-92.57,soybean,1995,,,2240.0,5,10,438.1,502.598,-64.498,18.35,Loam
44.31,-96.79,maize,2005,Yes,Yes,8659.0,5,10,503.5,541.433,-37.933,17.8,Loam
44.31,-96.79,maize,2005,Yes,Yes,3845.0,5,10,503.5,541.433,-37.933,17.8,Loam
44.31,-96.79,maize,2006,Yes,Yes,8442.0,5,10,372.1999984,542.5349577,-170.335,16.83333341,Loam
44.31,-96.79,maize,2006,Yes,Yes,4893.0,5,10,372.1999984,542.5349577,-170.335,16.83333341,Loam
41.8,1.12,barley.winter,1997,Mix,Mix,3358.0,12,18,342.2,481.439,-139.239,16.25714,Loam
41.8,1.12,barley.winter,1998,Mix,Mix,4767.0,12,18,201.1,482.803,-281.703,16.21429,Loam
41.8,1.12,barley.winter,1999,Mix,Mix,1557.0,12,18,240.7,484.196,-243.496,15.78571,Loam
41.5,0.13,barley.winter,1998,Mix,Mix,1672.0,12,18,200.7,415.484,-214.784,17.31429,Loam
41.5,0.13,barley.winter,1999,Mix,Mix,1888.0,12,18,284.2,416.74,-132.54,16.91429,Loam
41.77,1.27,barley.winter,1997,Mix,Mix,3863.0,12,18,441.2,498.336,-57.136,12.05714,Loam
41.77,1.27,barley.winter,1998,Mix,Mix,3317.0,12,18,286.2,496.581,-210.381,12.02857,Loam
41.77,1.27,barley.winter,1999,Mix,Mix,4229.0,12,18,339.7,493.124,-153.424,11.6,Loam
-23.48,148.15,sorghum,1996,Mix,Mix,1660.0,11,17,500.7,772.809,-272.109,26.71429,Clay loam
-23.48,148.15,sorghum,1997,Mix,Mix,2921.0,11,17,500.7,772.809,-272.109,26.71429,Clay loam
-23.48,148.15,wheat.winter,1991,Mix,Mix,1542.0,5,11,187.0,521.408,-334.408,20.34286,Clay loam
30.9,75.8,wheat.winter,2005,Yes,Yes,4200.0,12,17,217.2000041,549.7760813,-332.576,25.60000038,Loam
30.9,75.8,wheat.winter,2005,Yes,Yes,4500.0,12,17,217.2000041,549.7760813,-332.576,25.60000038,Loam
30.9,75.8,wheat.winter,2006,Yes,Yes,4000.0,12,17,167.3999987,553.8121462,-386.412,26.36666648,Loam
30.9,75.8,wheat.winter,2006,Yes,Yes,3700.0,12,17,167.3999987,553.8121462,-386.412,26.36666648,Loam
30.9,75.8,wheat.winter,2007,Yes,Yes,4700.0,12,17,266.9000057,553.9888433,-287.089,26.13333337,Loam
30.9,75.8,wheat.winter,2007,Yes,Yes,4900.0,12,17,266.9000057,553.9888433,-287.089,26.13333337,Loam
30.9,75.8,wheat.winter,2007,Yes,Yes,4500.0,12,17,266.9000057,553.9888433,-287.089,26.13333337,Loam
30.9,75.8,wheat.winter,2007,Yes,Yes,4700.0,12,17,266.9000057,553.9888433,-287.089,26.13333337,Loam
55.72,-118.68,barley.spring,1991,Yes,Yes,2091.0,5,9,307.8,399.473,-91.673,13.6,Clay loam
55.72,-118.68,barley.spring,1994,Yes,Yes,2304.0,5,9,356.3,403.232,-46.932,13.76,Clay loam
55.72,-118.68,wheat.spring,1994,Yes,Yes,2824.0,5,9,356.3,403.232,-46.932,13.76,Clay loam
55.72,-118.68,wheat.spring,1989,Yes,Yes,960.0,5,9,452.9,395.063,57.837,13.36,Clay loam
55.72,-118.68,wheat.spring,1990,Yes,Yes,1170.0,5,9,290.1,407.789,-117.689,13.8,Clay loam
55.2,-119.38,wheat.spring,1993,Yes,No,3457.0,5,9,362.8,360.521,2.279,11.22,Clay loam
55.2,-119.38,wheat.spring,1994,Yes,No,3089.0,5,9,417.8,381.367,36.433,12.14,Clay loam
55.2,-119.38,wheat.spring,1995,Yes,No,4494.0,5,9,321.3,380.641,-59.341,11.26,Clay loam
59.9,17.0,barley.spring,2004,Yes,Yes,6940.0,5,9,317.4,312.565,4.835,14.1,Loam
59.9,17.0,barley.spring,2007,Yes,Yes,8500.0,5,9,257.4,305.349,-47.949,13.9,Loam
59.81,17.66,barley.spring,2007,Yes,Yes,6970.0,5,9,242.4,302.808,-60.408,13.92,Loam
59.9,17.0,wheat.winter,2005,Yes,Yes,6070.0,10,18,451.8,265.394,186.406,5.33333,Loam
59.81,17.66,wheat.winter,2005,Yes,Yes,3650.0,10,18,454.2,263.033,191.167,5.31111,Loam
30.9,75.8,soybean,2006,No,No,1503.0,7,11,401.4999962,446.7680882,-45.268,27.15999947,Loam
30.9,75.8,soybean,2006,No,No,1440.0,7,11,401.4999962,446.7680882,-45.268,27.15999947,Loam
30.9,75.8,soybean,2006,Yes,Yes,2413.0,7,11,401.4999962,446.7680882,-45.268,27.15999947,Loam
30.9,75.8,soybean,2006,Yes,Yes,2393.0,7,11,401.4999962,446.7680882,-45.268,27.15999947,Loam
30.9,75.8,soybean,2006,Yes,Yes,1943.0,7,11,401.4999962,446.7680882,-45.268,27.15999947,Loam
30.9,75.8,soybean,2006,Yes,Yes,1933.0,7,11,401.4999962,446.7680882,-45.268,27.15999947,Loam
30.9,75.8,soybean,2006,Yes,Yes,2380.0,7,11,401.4999962,446.7680882,-45.268,27.15999947,Loam
30.9,75.8,soybean,2006,Yes,Yes,2460.0,7,11,401.4999962,446.7680882,-45.268,27.15999947,Loam
30.9,75.8,soybean,2007,Yes,Yes,2127.0,7,11,187.9000039,457.7381161,-269.838,26.94000015,Loam
30.9,75.8,soybean,2007,Yes,Yes,2389.0,7,11,187.9000039,457.7381161,-269.838,26.94000015,Loam
30.9,75.8,soybean,2007,No,No,1860.0,7,11,187.9000039,457.7381161,-269.838,26.94000015,Loam
30.9,75.8,soybean,2007,Yes,Yes,2346.0,7,11,187.9000039,457.7381161,-269.838,26.94000015,Loam
30.9,75.8,soybean,2007,Yes,Yes,2449.0,7,11,187.9000039,457.7381161,-269.838,26.94000015,Loam
30.9,75.8,soybean,2007,Yes,Yes,2423.0,7,11,187.9000039,457.7381161,-269.838,26.94000015,Loam
30.9,75.8,soybean,2007,Yes,Yes,2133.0,7,11,187.9000039,457.7381161,-269.838,26.94000015,Loam
30.9,75.8,soybean,2007,No,No,1845.0,7,11,187.9000039,457.7381161,-269.838,26.94000015,Loam
30.9,75.8,wheat.winter,2009,No,No,1389.0,12,17,152.0999994,567.6243543,-415.524,26.73333359,Loam
30.9,75.8,wheat.winter,2009,Yes,Yes,4145.0,12,17,152.0999994,567.6243543,-415.524,26.73333359,Loam
30.9,75.8,wheat.winter,2009,Yes,Yes,4400.0,12,17,152.0999994,567.6243543,-415.524,26.73333359,Loam
30.9,75.8,wheat.winter,2009,Yes,Yes,4363.0,12,17,152.0999994,567.6243543,-415.524,26.73333359,Loam
30.9,75.8,wheat.winter,2009,No,No,1144.0,12,17,152.0999994,567.6243543,-415.524,26.73333359,Loam
30.9,75.8,wheat.winter,2009,Yes,Yes,4290.0,12,17,152.0999994,567.6243543,-415.524,26.73333359,Loam
30.9,75.8,wheat.winter,2009,Yes,Yes,4396.0,12,17,152.0999994,567.6243543,-415.524,26.73333359,Loam
30.9,75.8,wheat.winter,2009,Yes,Yes,4361.0,12,17,152.0999994,567.6243543,-415.524,26.73333359,Loam
30.9,75.8,wheat.winter,2006,No,No,1235.0,12,17,167.3999987,553.8121462,-386.412,26.36666648,Loam
30.9,75.8,wheat.winter,2006,Yes,Yes,3505.0,12,17,167.3999987,553.8121462,-386.412,26.36666648,Loam
30.9,75.8,wheat.winter,2006,Yes,Yes,3849.0,12,17,167.3999987,553.8121462,-386.412,26.36666648,Loam
30.9,75.8,wheat.winter,2006,Yes,Yes,3906.0,12,17,167.3999987,553.8121462,-386.412,26.36666648,Loam
30.9,75.8,wheat.winter,2006,No,No,1351.0,12,17,167.3999987,553.8121462,-386.412,26.36666648,Loam
30.9,75.8,wheat.winter,2006,Yes,Yes,3415.0,12,17,167.3999987,553.8121462,-386.412,26.36666648,Loam
30.9,75.8,wheat.winter,2006,Yes,Yes,3880.0,12,17,167.3999987,553.8121462,-386.412,26.36666648,Loam
30.9,75.8,wheat.winter,2006,Yes,Yes,3965.0,12,17,167.3999987,553.8121462,-386.412,26.36666648,Loam
30.9,75.8,wheat.winter,2007,No,No,1230.0,12,17,266.9000057,553.9888433,-287.089,26.13333337,Loam
30.9,75.8,wheat.winter,2007,Yes,Yes,3770.0,12,17,266.9000057,553.9888433,-287.089,26.13333337,Loam
30.9,75.8,wheat.winter,2007,Yes,Yes,4030.0,12,17,266.9000057,553.9888433,-287.089,26.13333337,Loam
30.9,75.8,wheat.winter,2007,Yes,Yes,4050.0,12,17,266.9000057,553.9888433,-287.089,26.13333337,Loam
30.9,75.8,wheat.winter,2007,No,No,1330.0,12,17,266.9000057,553.9888433,-287.089,26.13333337,Loam
30.9,75.8,wheat.winter,2007,Yes,Yes,3890.0,12,17,266.9000057,553.9888433,-287.089,26.13333337,Loam
30.9,75.8,wheat.winter,2007,Yes,Yes,4110.0,12,17,266.9000057,553.9888433,-287.089,26.13333337,Loam
30.9,75.8,wheat.winter,2007,Yes,Yes,4247.0,12,17,266.9000057,553.9888433,-287.089,26.13333337,Loam
55.7,-120.35,barley.spring,1993,,,2880.0,5,9,319.1,361.006,-41.906,10.72,Loam
50.78,-106.5,wheat.spring,2005,Yes,Yes,2460.0,5,9,320.3,401.257,-80.957,14.54,Loam
50.78,-106.5,wheat.spring,2007,Yes,Yes,2620.0,5,9,211.8,422.586,-210.786,14.74,Loam
50.78,-106.5,wheat.spring,2006,Yes,Yes,3260.0,5,9,272.1,438.216,-166.116,16.18,Loam
50.78,-106.5,wheat.spring,2007,Yes,Yes,1770.0,5,9,211.8,422.586,-210.786,14.74,Loam
50.78,-106.5,wheat.spring,2006,Yes,Yes,2240.0,5,9,272.1,438.216,-166.116,16.18,Loam
50.78,-106.5,wheat.spring,2007,Yes,Yes,1710.0,5,9,211.8,422.586,-210.786,14.74,Loam
51.17,0.93,maize,1999,,No,7500.0,4,10,335.9,402.353,-66.453,15.15714,Loam
51.17,0.93,maize,1999,Yes,Yes,8200.0,4,10,335.9,402.353,-66.453,15.15714,Loam
37.45,49.62,maize,2010,Yes,Yes,17100.0,4,8,282.3,541.086,-258.786,23.9,Clay loam
52.85,-104.6,barley.spring,1994,Yes,Yes,3150.0,5,9,269.0,390.479,-121.479,14.66,Clay loam
52.85,-104.6,barley.spring,1995,Yes,Yes,4280.0,5,9,213.1,409.975,-196.875,14.64,Clay loam
52.85,-104.6,barley.spring,1996,Yes,Yes,4020.0,5,9,270.6,387.566,-116.966,14.08,Clay loam
52.85,-104.6,barley.spring,1997,Yes,Yes,3070.0,5,9,255.5,393.437,-137.937,15.18,Clay loam
52.85,-104.6,wheat.spring,1994,Yes,Yes,3460.0,5,9,268.9999981,390.4791039,-121.479,14.66000004,Clay loam
52.85,-104.6,wheat.spring,1995,Yes,Yes,4660.0,5,9,213.0999993,409.9745296,-196.875,14.63999996,Clay loam
52.85,-104.6,wheat.spring,1996,Yes,Yes,4860.0,5,9,270.6000023,387.5657813,-116.966,14.07999983,Clay loam
52.85,-104.6,wheat.spring,1997,Yes,Yes,4990.0,5,9,255.5000076,393.4365098,-137.937,15.18000011,Clay loam
29.02,79.49,wheat.winter,1993,Yes,Yes,3550.0,11,15,183.2,356.671,-173.471,23.24,Loam
29.02,79.49,wheat.winter,1994,Yes,Yes,4990.0,11,15,25.6,348.575,-322.975,24.58,Loam
32.42,-85.88,cotton,2004,Yes,Yes,1110.0,5,11,716.6,619.027,97.573,22.9,Clay loam
32.42,-85.88,cotton,2005,Yes,Yes,1536.0,5,11,630.0,636.273,-6.272,23.05714,Clay loam
32.42,-85.88,cotton,2006,Yes,Yes,774.0,5,11,622.9,654.105,-31.205,22.95714,Clay loam
34.28,-85.97,maize,2001,Yes,Yes,21900.0,4,9,799.6,609.677,189.923,22.01667,Loam
34.28,-85.97,maize,2002,Yes,Yes,19700.0,4,9,834.0,629.7,204.3,22.76667,Loam
34.28,-85.97,maize,2003,Yes,Yes,10900.0,4,9,837.3,580.529,256.771,21.95,Loam
55.94,-3.21,barley.winter,1982,Yes,Yes,6300.0,10,18,739.3000145,259.2143014,480.086,6.333333241,Sandy loam
-17.85,-63.0,maize,1993,Mix,,2780.0,10,16,598.3,837.715,-239.415,29.97143,Clay loam
-17.85,-63.0,sorghum,1991,Mix,,2270.0,12,18,981.5,684.744,296.756,27.22857,Clay loam
-17.85,-63.0,soybean,1990,Mix,,2150.0,11,17,1043.0,792.601,250.399,28.38571,Clay loam
-17.85,-63.0,soybean,1991,Mix,,2710.0,11,17,1063.3,771.358,291.942,29.24286,Clay loam
-17.85,-63.0,soybean,1992,Mix,,2510.0,11,17,1035.8,733.253,302.547,28.41429,Clay loam
-17.85,-63.0,sunflower,1992,Mix,,1380.0,12,17,719.5,695.084,24.416,29.61667,Clay loam
-17.85,-63.0,wheat.spring,1989,Mix,,1460.0,3,8,595.2,415.619,179.581,22.81667,Clay loam
-17.85,-63.0,wheat.spring,1990,Mix,,1440.0,3,8,552.4,434.643,117.757,22.55,Clay loam
-34.84,-58.47,maize,2000,No,No,2800.0,10,16,722.6,683.012,39.588,22.67143,Clay loam
-34.84,-58.47,soybean,1999,No,No,2500.0,11,16,631.9,607.016,24.884,22.65,Clay loam
35.18,-102.08,sorghum,1990,,,470.0,5,9,177.3,502.673,-325.373,22.26,Loam
35.18,-102.08,sorghum,1991,,,2990.0,5,9,419.5,508.094,-88.594,21.72,Loam
35.18,-102.08,sorghum,1993,,,2600.0,5,9,317.2,539.526,-222.326,22.06,Loam
35.18,-102.08,sorghum,1994,,,3200.0,5,9,343.2,541.615,-198.415,22.66,Loam
35.18,-102.08,sorghum,1995,,,2320.0,5,9,369.9,501.681,-131.781,21.56,Loam
35.18,-102.08,wheat.winter,1990,,,2870.0,10,18,349.1,575.219,-226.119,12.95556,Loam
35.18,-102.08,wheat.winter,1991,,,1850.0,10,18,520.1,568.23,-48.13,12.84444,Loam
35.18,-102.08,wheat.winter,1992,,,3800.0,10,18,303.8,588.327,-284.527,12.24444,Loam
35.18,-102.08,wheat.winter,1993,,,1510.0,10,18,412.0,593.079,-181.079,12.77778,Loam
35.18,-102.08,wheat.winter,1994,,,2110.0,10,18,365.7,561.391,-195.691,13.21111,Loam
35.18,-102.08,wheat.winter,1995,,,280.0,10,18,167.2,596.24,-429.04,13.71111,Loam
33.69,-101.83,cotton,1987,Yes,Yes,870.0,5,10,480.0,551.749,-71.749,22.01667,Sandy loam
33.69,-101.83,cotton,1988,Yes,Yes,460.0,5,10,327.2,548.268,-221.068,22.05,Sandy loam
40.92,-90.72,maize,2012,Yes,Yes,8752.0,5,10,447.6,559.736,-112.136,20.8,Loam
40.92,-90.72,maize,2013,Yes,Yes,10128.0,5,10,327.5,532.572,-205.072,20.36667,Loam
40.92,-90.72,maize,2014,Yes,Yes,14862.0,5,10,707.4,511.805,195.595,19.48333,Loam
40.92,-90.72,maize,2015,Yes,Yes,15303.0,5,10,717.9,509.583,208.317,20.45,Loam
40.92,-90.72,maize,2012,Yes,Yes,13596.0,5,10,447.6,559.736,-112.136,20.8,Loam
40.92,-90.72,maize,2013,Yes,Yes,13211.0,5,10,327.5,532.572,-205.072,20.36667,Loam
40.92,-90.72,maize,2014,Yes,Yes,15028.0,5,10,707.4,511.805,195.595,19.48333,Loam
40.92,-90.72,maize,2015,Yes,Yes,15138.0,5,10,717.9,509.583,208.317,20.45,Loam
40.92,-90.72,maize,2012,Yes,Yes,14147.0,5,10,447.6,559.736,-112.136,20.8,Loam
40.92,-90.72,maize,2013,Yes,Yes,14532.0,5,10,327.5,532.572,-205.072,20.36667,Loam
40.92,-90.72,maize,2014,Yes,Yes,15083.0,5,10,707.4,511.805,195.595,19.48333,Loam
40.92,-90.72,maize,2015,Yes,Yes,15578.0,5,10,717.9,509.583,208.317,20.45,Loam
40.92,-90.72,soybean,2012,Yes,No,4404.0,5,10,447.6,559.736,-112.136,20.8,Loam
